Description,Test_ID,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance
"  We study Frobenius extensions which are free-filtered by a totally ordered,
finitely generated abelian group, and their free-graded counterparts. First we
show that the Frobenius property passes up from a free-graded extension to a
free-filtered extension, then also from a free-filtered extension to the
extension of their Rees algebras. Our main theorem states that, under some
natural hypotheses, a free-filtered extension of algebras is Frobenius if and
only if the associated graded extension is Frobenius. In the final section we
apply this theorem to provide new examples and non-examples of Frobenius
extensions.
",3063,0,0,1,0,0,0
"  We consider the Burgers equation posed on the outer communication region of a
Schwarzschild black hole spacetime. Assuming spherical symmetry for the fluid
flow under consideration, we study the propagation and interaction of shock
waves under the effect of random forcing. First of all, considering the initial
and boundary value problem with boundary data prescribed in the vicinity of the
horizon, we establish a generalization of the Hopf--Lax--Oleinik formula, which
takes the curved geometry into account and allows us to establish the existence
of bounded variation solutions. To this end, we analyze the global behavior of
the characteristic curves in the Schwarzschild geometry, including their
behavior near the black hole horizon. In a second part, we investigate the
long-term statistical properties of solutions when a random forcing is imposed
near the black hole horizon and study the ergodicity of the fluid flow under
consideration. We prove the existence of a random global attractor and, for the
Burgers equation outside of a Schwarzschild black hole, we are able to validate
the so-called `one-force-one-solution' principle. Furthermore, all of our
results are also established for a pressureless Euler model which consists of
two balance laws and includes a transport equation satisfied by the integrated
fluid density.
",3064,0,0,1,0,0,0
"  We describe a Markov latent state space (MLSS) model, where the latent state
distribution is a decaying mixture over multiple past states. We present a
simple sampling algorithm that allows to approximate such high-order MLSS with
fixed time and memory costs.
",3065,1,0,0,1,0,0
"  A new characterization of CMO(R^n) is established by the local mean
oscillation. Some characterizations of iterated compact commutators on weighted
Lebesgue spaces are given, which are new even in the unweighted setting for the
first order commutators.
",3066,0,0,1,0,0,0
"  We show that the task of question answering (QA) can significantly benefit
from the transfer learning of models trained on a different large, fine-grained
QA dataset. We achieve the state of the art in two well-studied QA datasets,
WikiQA and SemEval-2016 (Task 3A), through a basic transfer learning technique
from SQuAD. For WikiQA, our model outperforms the previous best model by more
than 8%. We demonstrate that finer supervision provides better guidance for
learning lexical and syntactic information than coarser supervision, through
quantitative results and visual analysis. We also show that a similar transfer
learning procedure achieves the state of the art on an entailment task.
",3067,1,0,0,0,0,0
"  We define a map $f\colon X\to Y$ to be a phantom map relative to a map
$\varphi\colon B\to Y$ if the restriction of $f$ to any finite dimensional
skeleton of $X$ lifts to $B$ through $\varphi$, up to homotopy. There are two
kinds of maps which are obviously relative phantom maps: (1) the composite of a
map $X\to B$ with $\varphi$; (2) a usual phantom map $X\to Y$. A relative
phantom map of type (1) is called trivial, and a relative phantom map out of a
suspension which is a sum of (1) and (2) is called relatively trivial. We study
the (relative) triviality of relative phantom maps from a suspension, and in
particular, we give rational homotopy conditions for the (relative) triviality.
We also give a rational homotopy condition for the triviality of relative
phantom maps from a non-suspension to a finite Postnikov section.
",3068,0,0,1,0,0,0
"  The current ISO standards pertaining to the Concepts of System and
Architecture express succinct definitions of these two key terms that lend
themselves to practical application and can be understood through elementary
mathematical foundations. The current work of the ISO/IEC Working Group 42 is
seeking to refine and elaborate the existing standards. This position paper
revisits the fundamental concepts underlying both of these key terms and offers
an approach to: (i) refine and exemplify the term 'fundamental concepts' in the
current ISO definition of Architecture, (ii) exploit existing standards for the
term 'concept', and (iii) introduce a new concept, Architectural Structure,
that can serve to unify the current terminology at a fundamental level. Precise
elementary examples are used in to conceptualise the approach offered.
",3069,1,0,0,0,0,0
"  We prove two main results concerning mesoprimary decomposition of monoid
congruences, as introduced by Kahle and Miller. First, we identify which
associated prime congruences appear in every mesoprimary decomposition, thereby
completing the theory of mesoprimary decomposition of monoid congruences as a
more faithful analog of primary decomposition. Second, we answer a question
posed by Kahle and Miller by characterizing which finite posets arise as the
set of associated prime congruences of monoid congruences.
",3070,0,0,1,0,0,0
"  Emerging economies frequently show a large component of their Gross Domestic
Product to be dependant on the economic activity of small and medium
enterprises. Nevertheless, e-business solutions are more likely designed for
large companies. SMEs seem to follow a classical family-based management, used
to traditional activities, rather than seeking new ways of adding value to
their business strategy. Thus, a large portion of a nations economy may be at
disadvantage for competition. This paper aims at assessing the state of
e-business readiness of Mexican SMEs based on already published e-business
evolution models and by means of a survey research design. Data is being
collected in three cities with differing sizes and infrastructure conditions.
Statistical results are expected to be presented. A second part of this
research aims at applying classical adoption models to suggest potential causal
relationships, as well as more suitable recommendations for development.
",3071,0,0,0,0,0,1
"  We find that cusp densities of hyperbolic knots in the 3-sphere are dense in
[0,0.6826...] and those of links are dense in [0,0.853...]. We define a new
invariant associated with cusp volume, the cusp crossing density, as the ratio
between the cusp volume and the crossing number of a link, and show that cusp
crossing density for links is bounded above by 3.1263.... Moreover, there is a
sequence of links with cusp crossing density approaching 3. The least upper
bound for cusp crossing density remains an open question. For two-component
hyperbolic links, cusp crossing density is shown to be dense in the interval
[0,1.6923...] and for all hyperbolic links, cusp crossing density is shown to
be dense in [0, 2.120...].
",3072,0,0,1,0,0,0
"  Accurate on-device keyword spotting (KWS) with low false accept and false
reject rate is crucial to customer experience for far-field voice control of
conversational agents. It is particularly challenging to maintain low false
reject rate in real world conditions where there is (a) ambient noise from
external sources such as TV, household appliances, or other speech that is not
directed at the device (b) imperfect cancellation of the audio playback from
the device, resulting in residual echo, after being processed by the Acoustic
Echo Cancellation (AEC) system. In this paper, we propose a data augmentation
strategy to improve keyword spotting performance under these challenging
conditions. The training set audio is artificially corrupted by mixing in music
and TV/movie audio, at different signal to interference ratios. Our results
show that we get around 30-45% relative reduction in false reject rates, at a
range of false alarm rates, under audio playback from such devices.
",3073,0,0,0,1,0,0
"  This paper presents a new compact canonical-based algorithm to solve the
problem of single-output completely specified NPN Boolean matching. We propose
a new signature vector Boolean difference and cofactor (DC) signature vector.
Our algorithm utilizes the Boolean difference, cofactor signature and symmetry
properties to search for canonical transformations. The use of symmetry and
Boolean difference notably reduces the search space and speeds up the Boolean
matching process compared to the algorithm proposed in [1]. We tested our
algorithm on a large number of circuits. The experimental results showed that
the average runtime of our algorithm 37% higher and its average search space
67% smaller compared to [1] when tested on general circuits.
",3074,1,0,0,0,0,0
"  We generalize the natural cross ratio on the ideal boundary of a rank one
symmetric spaces, or even $\mathrm{CAT}(-1)$ space, to higher rank symmetric
spaces and (non-locally compact) Euclidean buildings - we obtain vector valued
cross ratios defined on simplices of the building at infinity. We show several
properties of those cross ratios; for example that (under some restrictions)
periods of hyperbolic isometries give back the translation vector. In addition,
we show that cross ratio preserving maps on the chamber set are induced by
isometries and vice versa - motivating that the cross ratios bring the geometry
of the symmetric space/Euclidean building to the boundary.
",3075,0,0,1,0,0,0
"  In our previous work, we studied an interconnected bursting neuron model for
insect locomotion, and its corresponding phase oscillator model, which at high
speed can generate stable tripod gaits with three legs off the ground
simultaneously in swing, and at low speed can generate stable tetrapod gaits
with two legs off the ground simultaneously in swing. However, at low speed
several other stable locomotion patterns, that are not typically observed as
insect gaits, may coexist. In the present paper, by adding heterogeneous
external input to each oscillator, we modify the bursting neuron model so that
its corresponding phase oscillator model produces only one stable gait at each
speed, specifically: a unique stable tetrapod gait at low speed, a unique
stable tripod gait at high speed, and a unique branch of stable transition
gaits connecting them. This suggests that control signals originating in the
brain and central nervous system can modify gait patterns.
",3076,0,0,0,0,1,0
"  We introduce the multiplexing of a crossing, replacing a classical crossing
of a virtual link diagram with multiple crossings which is a mixture of
classical and virtual. For integers $m_{i}$ $(i=1,\ldots,n)$ and an ordered
$n$-component virtual link diagram $D$, a new virtual link diagram
$D(m_{1},\ldots,m_{n})$ is obtained from $D$ by the multiplexing of all
crossings. For welded isotopic virtual link diagrams $D$ and $D'$,
$D(m_{1},\ldots,m_{n})$ and $D'(m_{1},\ldots,m_{n})$ are welded isotopic. From
the point of view of classical link theory, it seems very interesting that
$D(m_{1},\ldots,m_{n})$ could not be welded isotopic to a classical link
diagram even if $D$ is a classical one, and new classical link invariants are
expected from known welded link invariants via the multiplexing of crossings.
",3077,0,0,1,0,0,0
"  This paper presents the development of an Adaptive Algebraic Multiscale
Solver for Compressible flow (C-AMS) in heterogeneous porous media. Similar to
the recently developed AMS for incompressible (linear) flows [Wang et al., JCP,
2014], C-AMS operates by defining primal and dual-coarse blocks on top of the
fine-scale grid. These coarse grids facilitate the construction of a
conservative (finite volume) coarse-scale system and the computation of local
basis functions, respectively. However, unlike the incompressible (elliptic)
case, the choice of equations to solve for basis functions in compressible
problems is not trivial. Therefore, several basis function formulations
(incompressible and compressible, with and without accumulation) are considered
in order to construct an efficient multiscale prolongation operator. As for the
restriction operator, C-AMS allows for both multiscale finite volume (MSFV) and
finite element (MSFE) methods. Finally, in order to resolve high-frequency
errors, fine-scale (pre- and post-) smoother stages are employed. In order to
reduce computational expense, the C-AMS operators (prolongation, restriction,
and smoothers) are updated adaptively. In addition to this, the linear system
in the Newton-Raphson loop is infrequently updated. Systematic numerical
experiments are performed to determine the effect of the various options,
outlined above, on the C-AMS convergence behaviour. An efficient C-AMS strategy
for heterogeneous 3D compressible problems is developed based on overall CPU
times. Finally, C-AMS is compared against an industrial-grade Algebraic
MultiGrid (AMG) solver. Results of this comparison illustrate that the C-AMS is
quite efficient as a nonlinear solver, even when iterated to machine accuracy.
",3078,1,1,0,0,0,0
"  We investigate the automatic differentiation of hybrid models, viz. models
that may contain delays, logical tests and discontinuities or loops. We
consider differentiation with respect to parameters, initial conditions or the
time. We emphasize the case of a small number of derivations and iterated
differentiations are mostly treated with a foccus on high order iterations of
the same derivation. The models we consider may involve arithmetic operations,
elementary functions, logical tests but also more elaborate components such as
delays, integrators, equations and differential equations solvers. This survey
has no pretention to exhaustivity but tries to fil a gap in the litterature
where each kind of of component may be documented, but seldom their common use.
The general approach is illustrated by computer algebra experiments,
stressing the interest of performing differentiation, whenever possible, on
high level objects, before any translation in Fortran or C code. We include
ordinary differential systems with discontinuity, with a special interest for
those comming from discontinuous Lagrangians.
We conclude with an overview of the graphic methodology developped in the
Diffedge software for Simulink hybrid models. Not all possibilities are
covered, but the methodology can be adapted. The result of automatic
differentiation is a new block diagram and so it can be easily translated to
produce real time embedded programs.
We welcome any comments or suggestions of references that we may have missed.
",3079,1,0,0,0,0,0
"  Initial RV characterisation of the enigmatic planet Kepler-10c suggested a
mass of $\sim17$ M$_\oplus$, which was remarkably high for a planet with radius
$2.32$ R$_\oplus$; further observations and subsequent analysis hinted at a
(possibly much) lower mass, but masses derived using RVs from two different
spectrographs (HARPS-N and HIRES) were incompatible at a $3\sigma$-level. We
demonstrate here how such mass discrepancies may readily arise from sub-optimal
sampling and/or neglecting to model even a single coherent signal (stellar,
planetary, or otherwise) that may be present in RVs. We then present a
plausible resolution of the mass discrepancy, and ultimately characterise
Kepler-10c as having mass $7.37_{-1.19}^{+1.32}$ M$_\oplus$, and mean density
$3.14^{+0.63}_{-0.55}$ g cm$^{-3}$.
",3080,0,1,0,0,0,0
"  Building effective, enjoyable, and safe autonomous vehicles is a lot harder
than has historically been considered. The reason is that, simply put, an
autonomous vehicle must interact with human beings. This interaction is not a
robotics problem nor a machine learning problem nor a psychology problem nor an
economics problem nor a policy problem. It is all of these problems put into
one. It challenges our assumptions about the limitations of human beings at
their worst and the capabilities of artificial intelligence systems at their
best. This work proposes a set of principles for designing and building
autonomous vehicles in a human-centered way that does not run away from the
complexity of human nature but instead embraces it. We describe our development
of the Human-Centered Autonomous Vehicle (HCAV) as an illustrative case study
of implementing these principles in practice.
",3081,1,0,0,0,0,0
"  A periodic array of atomic sites, described within a tight binding formalism
is shown to be capable of trapping electronic states as it grows in size and
gets stubbed by an atom or an atomic clusters from a side in a deterministic
way. We prescribe a method based on a real space renormalization group method,
that unravels a subtle correlation between the positions of the side coupled
atoms and the energy eigenvalues for which the incoming particle finally gets
trapped. We discuss how, in such conditions, the periodic backbone gets
transformed into an array of infinite quantum wells in the thermodynamic limit.
We present a case here, where the wells have a hierarchically distribution of
widths, hosing standing wave solutions in the thermodynamic limit.
",3082,0,1,0,0,0,0
"  This paper proposes a deep cerebellar model articulation controller (DCMAC)
for adaptive noise cancellation (ANC). We expand upon the conventional CMAC by
stacking sin-gle-layer CMAC models into multiple layers to form a DCMAC model
and derive a modified backpropagation training algorithm to learn the DCMAC
parameters. Com-pared with conventional CMAC, the DCMAC can characterize
nonlinear transformations more effectively because of its deep structure.
Experimental results confirm that the pro-posed DCMAC model outperforms the
CMAC in terms of residual noise in an ANC task, showing that DCMAC provides
enhanced modeling capability based on channel characteristics.
",3083,1,0,0,0,0,0
"  Transient stability simulation of a large-scale and interconnected electric
power system involves solving a large set of differential algebraic equations
(DAEs) at every simulation time-step. With the ever-growing size and complexity
of power grids, dynamic simulation becomes more time-consuming and
computationally difficult using conventional sequential simulation techniques.
To cope with this challenge, this paper aims to develop a fully distributed
approach intended for implementation on High Performance Computer (HPC)
clusters. A novel, relaxation-based domain decomposition algorithm known as
Parallel-General-Norton with Multiple-port Equivalent (PGNME) is proposed as
the core technique of a two-stage decomposition approach to divide the overall
dynamic simulation problem into a set of subproblems that can be solved
concurrently to exploit parallelism and scalability. While the convergence
property has traditionally been a concern for relaxation-based decomposition,
an estimation mechanism based on multiple-port network equivalent is adopted as
the preconditioner to enhance the convergence of the proposed algorithm. The
proposed algorithm is illustrated using rigorous mathematics and validated both
in terms of speed-up and capability. Moreover, a complexity analysis is
performed to support the observation that PGNME scales well when the size of
the subproblems are sufficiently large.
",3084,1,0,0,0,0,0
"  Web portals have served as an excellent medium to facilitate user centric
services for organizations irrespective of the type, size, and domain of
operation. The objective of these portals has been to deliver a plethora of
services such as information dissemination, transactional services, and
customer feedback. Therefore, the design of a web portal is crucial in order
that it is accessible to a wide range of user community irrespective of age
group, physical abilities, and level of literacy. In this paper, we have
studied the compliance of WCAG 2.0 by three different categories of Indian web
sites which are most frequently accessed by a large section of user community.
We have provided a quantitative evaluation of different aspects of
accessibility which we believe can pave the way for better design of web sites
by taking care of the deficiencies inherent in the web portals.
",3085,1,0,0,0,0,0
"  The role of portfolio construction in the implementation of equity market
neutral factors is often underestimated. Taking the classical momentum strategy
as an example, we show that one can significantly improve the main strategy's
features by properly taking care of this key step. More precisely, an optimized
portfolio construction algorithm allows one to significantly improve the Sharpe
Ratio, reduce sector exposures and volatility fluctuations, and mitigate the
strategy's skewness and tail correlation with the market. These results are
supported by long-term, world-wide simulations and will be shown to be
universal. Our findings are quite general and hold true for a number of other
""equity factors"". Finally, we discuss the details of a more realistic set-up
where we also deal with transaction costs.
",3086,0,0,0,0,0,1
"  In this paper we propose a function space approach to Representation Learning
and the analysis of the representation layers in deep learning architectures.
We show how to compute a weak-type Besov smoothness index that quantifies the
geometry of the clustering in the feature space. This approach was already
applied successfully to improve the performance of machine learning algorithms
such as the Random Forest and tree-based Gradient Boosting. Our experiments
demonstrate that in well-known and well-performing trained networks, the Besov
smoothness of the training set, measured in the corresponding hidden layer
feature map representation, increases from layer to layer. We also contribute
to the understanding of generalization by showing how the Besov smoothness of
the representations, decreases as we add more mis-labeling to the training
data. We hope this approach will contribute to the de-mystification of some
aspects of deep learning.
",3087,1,0,0,1,0,0
"  We construct a model of random groups of rank 7/4, and show that in this
model the random group has the exponential mesoscopic rank property.
",3088,0,0,1,0,0,0
"  We theoretically study transport properties in one-dimensional interacting
quasiperiodic systems at infinite temperature. We compare and contrast the
dynamical transport properties across the many-body localization (MBL)
transition in quasiperiodic and random models. Using exact diagonalization we
compute the optical conductivity $\sigma(\omega)$ and the return probability
$R(\tau)$ and study their average low-frequency and long-time power-law
behavior, respectively. We show that the low-energy transport dynamics is
markedly distinct in both the thermal and MBL phases in quasiperiodic and
random models and find that the diffusive and MBL regimes of the quasiperiodic
model are more robust than those in the random system. Using the distribution
of the DC conductivity, we quantify the contribution of sample-to-sample and
state-to-state fluctuations of $\sigma(\omega)$ across the MBL transition. We
find that the activated dynamical scaling ansatz works poorly in the
quasiperiodic model but holds in the random model with an estimated activation
exponent $\psi\approx 0.9$. We argue that near the MBL transition in
quasiperiodic systems, critical eigenstates give rise to a subdiffusive
crossover regime on finite-size systems.
",3089,0,1,0,0,0,0
"  The lasso and elastic net linear regression models impose a
double-exponential prior distribution on the model parameters to achieve
regression shrinkage and variable selection, allowing the inference of robust
models from large data sets. However, there has been limited success in
deriving estimates for the full posterior distribution of regression
coefficients in these models, due to a need to evaluate analytically
intractable partition function integrals. Here, the Fourier transform is used
to express these integrals as complex-valued oscillatory integrals over
""regression frequencies"". This results in an analytic expansion and stationary
phase approximation for the partition functions of the Bayesian lasso and
elastic net, where the non-differentiability of the double-exponential prior
has so far eluded such an approach. Use of this approximation leads to highly
accurate numerical estimates for the expectation values and marginal posterior
distributions of the regression coefficients, and allows for Bayesian inference
of much higher dimensional models than previously possible.
",3090,0,0,1,1,0,0
"  The El Ni??o-Southern Oscillation (ENSO) is a mode of interannual
variability in the coupled equatorial Pacific coupled atmosphere/ocean system.
El Ni??o describes a state in which sea surface temperatures in the eastern
Pacific increase and upwelling of colder, deep waters diminishes. El Ni??o
events typically peak in boreal winter, but their strength varies irregularly
on decadal time scales. There were exceptionally strong El Ni??o events in
1982-83, 1997-98 and 2015-16 that affected weather on a global scale. Widely
publicized forecasts in 2014 predicted that the 2015-16 event would occur a
year earlier. Predicting the strength of El Ni??o is a matter of practical
concern due to its effects on hydroclimate and agriculture around the world.
This paper discusses the frequency and regularity of strong El Ni??o events in
the context of chaotic dynamical systems. We discover a mechanism that limits
their predictability in a conceptual ""recharge oscillator"" model of ENSO. Weak
seasonal forcing or noise in this model can induce irregular switching between
an oscillatory state that has strong El Ni??o events and a chaotic state that
lacks strong events, In this regime, the timing of strong El Ni??o events on
decadal time scales is unpredictable.
",3091,0,1,0,0,0,0
"  One of the key challenges for operations researchers solving real-world
problems is designing and implementing high-quality heuristics to guide their
search procedures. In the past, machine learning techniques have failed to play
a major role in operations research approaches, especially in terms of guiding
branching and pruning decisions. We integrate deep neural networks into a
heuristic tree search procedure to decide which branch to choose next and to
estimate a bound for pruning the search tree of an optimization problem. We
call our approach Deep Learning assisted heuristic Tree Search (DLTS) and apply
it to a well-known problem from the container terminals literature, the
container pre-marshalling problem (CPMP). Our approach is able to learn
heuristics customized to the CPMP solely through analyzing the solutions to
CPMP instances, and applies this knowledge within a heuristic tree search to
produce the highest quality heuristic solutions to the CPMP to date.
",3092,1,0,0,0,0,0
"  The optimization of algorithm (hyper-)parameters is crucial for achieving
peak performance across a wide range of domains, ranging from deep neural
networks to solvers for hard combinatorial problems. The resulting algorithm
configuration (AC) problem has attracted much attention from the machine
learning community. However, the proper evaluation of new AC procedures is
hindered by two key hurdles. First, AC benchmarks are hard to set up. Second
and even more significantly, they are computationally expensive: a single run
of an AC procedure involves many costly runs of the target algorithm whose
performance is to be optimized in a given AC benchmark scenario. One common
workaround is to optimize cheap-to-evaluate artificial benchmark functions
(e.g., Branin) instead of actual algorithms; however, these have different
properties than realistic AC problems. Here, we propose an alternative
benchmarking approach that is similarly cheap to evaluate but much closer to
the original AC problem: replacing expensive benchmarks by surrogate benchmarks
constructed from AC benchmarks. These surrogate benchmarks approximate the
response surface corresponding to true target algorithm performance using a
regression model, and the original and surrogate benchmark share the same
(hyper-)parameter space. In our experiments, we construct and evaluate
surrogate benchmarks for hyperparameter optimization as well as for AC problems
that involve performance optimization of solvers for hard combinatorial
problems, drawing training data from the runs of existing AC procedures. We
show that our surrogate benchmarks capture overall important characteristics of
the AC scenarios, such as high- and low-performing regions, from which they
were derived, while being much easier to use and orders of magnitude cheaper to
evaluate.
",3093,1,0,0,1,0,0
"  This paper develops detailed mathematical statistical theory of a new class
of cross-validation techniques of local linear kernel hazards and their
multiplicative bias corrections. The new class of cross-validation combines
principles of local information and recent advances in indirect
cross-validation. A few applications of cross-validating multiplicative kernel
hazard estimation do exist in the literature. However, detailed mathematical
statistical theory and small sample performance are introduced via this paper
and further upgraded to our new class of best one-sided cross-validation. Best
one-sided cross-validation turns out to have excellent performance in its
practical illustrations, in its small sample performance and in its
mathematical statistical theoretical performance.
",3094,0,0,0,1,0,0
"  A sum of a large-dimensional random matrix polynomial and a fixed low-rank
matrix polynomial is considered. The main assumption is that the resolvent of
the random polynomial converges to some deterministic limit. A formula for the
limit of the resolvent of the sum is derived and the eigenvalues are localised.
Three instances are considered: a low-rank matrix perturbed by the Wigner
matrix, a product $HX$ of a fixed diagonal matrix $H$ and the Wigner matrix $X$
and a special matrix polynomial. The results are illustrated with various
examples and numerical simulations.
",3095,0,0,1,0,0,0
"  The composition of web services is a promising approach enabling flexible and
loose integration of business applications. Numerous approaches related to web
services composition have been developed usually following three main phases:
the service discovery is based on the semantic description of advertised
services, i.e. the functionality of the service, meanwhile the service
selection is based on non- functional quality dimensions of service, and
finally the service composition aims to support an underlying process. Most of
those approaches explore techniques of static or dynamic design for an optimal
service composition. One important aspect so far is mostly neglected, focusing
on the output produced of composite web services. In this paper, in contrast to
many prominent approaches we introduce a data quality perspective on web
services. Based on a data quality management approach, we propose a framework
for analyzing data produced by the composite service execution. Utilising
process information together with data in service logs, our approach allows
identifying problems in service composition and execution. Analyzing the
service execution history our approach helps to improve common approaches of
service selection and composition.
",3096,1,0,0,0,0,0
"  We present an automatic measurement platform that enables the
characterization of nanodevices by electrical transport and optical
spectroscopy as a function of uniaxial stress. We provide insights into and
detailed descriptions of the mechanical device, the substrate design and
fabrication, and the instrument control software, which is provided under
open-source license. The capability of the platform is demonstrated by
characterizing the piezo-resistance of an InAs nanowire device using a
combination of electrical transport and Raman spectroscopy. The advantages of
this measurement platform are highlighted by comparison with state-of-the-art
piezo-resistance measurements in InAs nanowires. We envision that the
systematic application of this methodology will provide new insights into the
physics of nanoscale devices and novel materials for electronics, and thus
contribute to the assessment of the potential of strain as a technology booster
for nanoscale electronics.
",3097,0,1,0,0,0,0
"  In 1991 J.F. Aarnes introduced the concept of quasi-measures in a compact
topological space $\Omega$ and established the connection between quasi-states
on $C (\Omega)$ and quasi-measures in $\Omega$. This work solved the linearity
problem of quasi-states on $C^*$-algebras formulated by R.V. Kadison in 1965.
The answer is that a quasi-state need not be linear, so a quasi-state need not
be a state. We introduce nonlinear measures in a space $\Omega$ which is a
generalization of a measurable space. In this more general setting we are still
able to define integration and establish a representation theorem for the
corresponding functionals. A probabilistic language is choosen since we feel
that the subject should be of some interest to probabilists. In particular we
point out that the theory allows for incompatible stochastic variables. The
need for incompatible variables is well known in quantum mechanics, but the
need seems natural also in other contexts as we try to explain by a questionary
example.
Keywords and phrases: Epistemic probability, Integration with respect to mea-
sures and other set functions, Banach algebras of continuous functions, Set
func- tions and measures on topological spaces, States, Logical foundations of
quantum mechanics.
",3098,0,0,1,1,0,0
"  We extend the framework for complexity of operators in analysis devised by
Kawamura and Cook (2012) to allow for the treatment of a wider class of
representations. The main novelty is to endow represented spaces of interest
with an additional function on names, called a parameter, which measures the
complexity of a given name. This parameter generalises the size function which
is usually used in second-order complexity theory and therefore also central to
the framework of Kawamura and Cook. The complexity of an algorithm is measured
in terms of its running time as a second-order function in the parameter, as
well as in terms of how much it increases the complexity of a given name, as
measured by the parameters on the input and output side.
As an application we develop a rigorous computational complexity theory for
interval computation. In the framework of Kawamura and Cook the representation
of real numbers based on nested interval enclosures does not yield a reasonable
complexity theory. In our new framework this representation is polytime
equivalent to the usual Cauchy representation based on dyadic rational
approximation. By contrast, the representation of continuous real functions
based on interval enclosures is strictly smaller in the polytime reducibility
lattice than the usual representation, which encodes a modulus of continuity.
Furthermore, the function space representation based on interval enclosures is
optimal in the sense that it contains the minimal amount of information amongst
those representations which render evaluation polytime computable.
",3099,1,0,0,0,0,0
"  Deep generative models provide powerful tools for distributions over
complicated manifolds, such as those of natural images. But many of these
methods, including generative adversarial networks (GANs), can be difficult to
train, in part because they are prone to mode collapse, which means that they
characterize only a few modes of the true distribution. To address this, we
introduce VEEGAN, which features a reconstructor network, reversing the action
of the generator by mapping from data to noise. Our training objective retains
the original asymptotic consistency guarantee of GANs, and can be interpreted
as a novel autoencoder loss over the noise. In sharp contrast to a traditional
autoencoder over data points, VEEGAN does not require specifying a loss
function over the data, but rather only over the representations, which are
standard normal by assumption. On an extensive set of synthetic and real world
image datasets, VEEGAN indeed resists mode collapsing to a far greater extent
than other recent GAN variants, and produces more realistic samples.
",3100,0,0,0,1,0,0
"  Advances in deep learning for natural images have prompted a surge of
interest in applying similar techniques to medical images. The majority of the
initial attempts focused on replacing the input of a deep convolutional neural
network with a medical image, which does not take into consideration the
fundamental differences between these two types of images. Specifically, fine
details are necessary for detection in medical images, unlike in natural images
where coarse structures matter most. This difference makes it inadequate to use
the existing network architectures developed for natural images, because they
work on heavily downscaled images to reduce the memory requirements. This hides
details necessary to make accurate predictions. Additionally, a single exam in
medical imaging often comes with a set of views which must be fused in order to
reach a correct conclusion. In our work, we propose to use a multi-view deep
convolutional neural network that handles a set of high-resolution medical
images. We evaluate it on large-scale mammography-based breast cancer screening
(BI-RADS prediction) using 886,000 images. We focus on investigating the impact
of the training set size and image size on the prediction accuracy. Our results
highlight that performance increases with the size of training set, and that
the best performance can only be achieved using the original resolution. In the
reader study, performed on a random subset of the test set, we confirmed the
efficacy of our model, which achieved performance comparable to a committee of
radiologists when presented with the same data.
",3101,1,0,0,1,0,0
"  We investigate the frequentist properties of Bayesian procedures for
estimation based on the horseshoe prior in the sparse multivariate normal means
model. Previous theoretical results assumed that the sparsity level, that is,
the number of signals, was known. We drop this assumption and characterize the
behavior of the maximum marginal likelihood estimator (MMLE) of a key parameter
of the horseshoe prior. We prove that the MMLE is an effective estimator of the
sparsity level, in the sense that it leads to (near) minimax optimal estimation
of the underlying mean vector generating the data. Besides this empirical Bayes
procedure, we consider the hierarchical Bayes method of putting a prior on the
unknown sparsity level as well. We show that both Bayesian techniques lead to
rate-adaptive optimal posterior contraction, which implies that the horseshoe
posterior is a good candidate for generating rate-adaptive credible sets.
",3102,0,0,1,1,0,0
"  A convex optimization-based method is proposed to numerically solve dynamic
programs in continuous state and action spaces. This approach using a
discretization of the state space has the following salient features. First, by
introducing an auxiliary optimization variable that assigns the contribution of
each grid point, it does not require an interpolation in solving an associated
Bellman equation and constructing a control policy. Second, the proposed method
allows us to solve the Bellman equation with a desired level of precision via
convex programming in the case of linear systems and convex costs. We can also
construct a control policy of which performance converges to the optimum as the
grid resolution becomes finer in this case. Third, when a nonlinear
control-affine system is considered, the convex optimization approach provides
an approximate control policy with a provable suboptimality bound. Fourth, for
general cases, the proposed convex formulation of dynamic programming operators
can be simply modified as a nonconvex bi-level program, in which the inner
problem is a linear program, without losing convergence properties. From our
convex methods and analyses, we observe that convexity in dynamic programming
deserves attention as it can play a critical role in obtaining a tractable and
convergent numerical solution.
",3103,1,0,0,0,0,0
"  The enactive approach to cognition is typically proposed as a viable
alternative to traditional cognitive science. Enactive cognition displaces the
explanatory focus from the internal representations of the agent to the direct
sensorimotor interaction with its environment. In this paper, we investigate
enactive learning through means of artificial agent simulations. We compare the
performances of the enactive agent to an agent operating on classical
reinforcement learning in foraging tasks within maze environments. The
characteristics of the agents are analysed in terms of the accessibility of the
environmental states, goals, and exploration/exploitation tradeoffs. We confirm
that the enactive agent can successfully interact with its environment and
learn to avoid unfavourable interactions using intrinsically defined goals. The
performance of the enactive agent is shown to be limited by the number of
affordable actions.
",3104,1,0,0,0,0,0
"  We study computable topological spaces and semicomputable and computable sets
in these spaces. In particular, we investigate conditions under which
semicomputable sets are computable. We prove that a semicomputable compact
manifold $M$ is computable if its boundary $\partial M$ is computable. We also
show how this result combined with certain construction which compactifies a
semicomputable set leads to the conclusion that some noncompact semicomputable
manifolds in computable metric spaces are computable.
",3105,1,0,1,0,0,0
